rank,name,domain
1,Exxon Mobil,exxonmobil.com
2,Wal-Mart Stores,corporate.walmart.com
3,Chevron,chevron.com
4,ConocoPhillips,conocophillips.com
5,General Electric,ge.com
6,General Motors,gm.com
7,Ford Motor,ford.com
8,AT&T,att.com
9,Hewlett-Packard,hp.com
10,Valero Energy,valero.com
11,Bank of America Corp.,bankofamerica.com
12,Citigroup,citigroup.com
13,Berkshire Hathaway,berkshirehathaway.com
14,International Business Machines,ibm.com
15,McKesson,mckesson.com
16,J.P. Morgan Chase & Co.,jpmorganchase.com
17,Verizon Communications,verizon.com
18,Cardinal Health,cardinal.com
19,CVS Caremark,caremark.com
20,Procter & Gamble,pg.com
21,UnitedHealth Group,unitedhealthgroup.com
22,Kroger,kroger.com
23,Marathon Oil,marathon.com
24,Costco Wholesale,costco.com
25,Home Depot,homedepot.com
26,AmerisourceBergen,amerisourcebergen.com
27,Archer Daniels Midland,adm.com
28,Target,target.com
29,Johnson & Johnson,jnj.com
30,Morgan Stanley,morganstanley.com
31,State Farm Insurance Cos.,statefarm.com
32,WellPoint,wellpoint.com
33,Dell,dell.com
34,Boeing,boeing.com
35,Microsoft,microsoft.com
36,Walgreen,walgreens.com
37,United Technologies,utc.com
38,Dow Chemical,dow.com
39,MetLife,metlife.com
40,Goldman Sachs Group,goldmansachs.com
41,Sunoco,sunocoinc.com
42,Wells Fargo,wellsfargo.com
43,United Parcel Service,ups.com
44,Caterpillar,cat.com
45,Medco Health Solutions,medcohealth.com
46,Pfizer,pfizer.com
47,Lowe's,lowes.com
48,Time Warner,timewarner.com
49,Sears Holdings,searsholdings.com
50,Safeway,safeway.com
51,Supervalu,supervalu.com
52,PepsiCo,pepsico.com
53,Kraft Foods,kraftfoodscompany.com
54,Lockheed Martin,lockheedmartin.com
55,Hess,hess.com
56,Best Buy,bestbuy.com
57,Cisco Systems,cisco.com
58,Johnson Controls,johnsoncontrols.com
59,FedEx,fedex.com
60,Walt Disney,disney.go.com
61,Intel,intel.com
62,Sysco,sysco.com
63,Honeywell International,honeywell.com
64,Sprint Nextel,nextel.com
65,Enterprise GP Holdings,en.wikipedia.org
66,GMAC,gmacmortgage.com
67,Ingram Micro,ingrammicro.com
68,Comcast,xfinity.comcast.net
69,Northrop Grumman,northropgrumman.com
70,News Corp.,newscorp.com
71,Apple,apple.com
72,CHS,chs.net
73,Coca-Cola,coca-cola.com
74,American Express,americanexpress.com
75,DuPont,dupont.com
76,New York Life Insurance,newyorklife.com
77,Aetna,aetna.com
78,Motorola,motorola.com
79,Plains All American Pipeline,paalp.com
80,Abbott Laboratories,abbott.com
81,Allstate,allstate.com
82,TIAA-CREF,tiaa-cref.org
83,General Dynamics,generaldynamics.com
84,Prudential Financial,prudential.com
85,Humana,humana.com
86,Liberty Mutual Insurance Group,libertymutual.com
87,Deere,deere.com
88,HCA,hcahealthcare.com
89,Tyson Foods,tyson.com
90,Alcoa,alcoa.com
91,Tesoro,tesoropetroleum.com
92,Murphy Oil,murphyoilcorp.com
93,Philip Morris International,pmi.com
94,Emerson Electric,emerson.com
95,3M,3m.com
96,Macy's,macys.com
97,International Paper,internationalpaper.com
98,Occidental Petroleum,oxy.com
99,Travelers Cos.,travelers.com
100,Rite Aid,riteaid.com
101,Publix Super Markets,publix.com
102,Tech Data,techdata.com
103,Merck,merck.com
104,AMR,amr.net
105,United States Steel,ussteel.com
106,Nucor,nucor.com
107,McDonald's,mcdonalds.com
108,Raytheon,raytheon.com
109,Staples,staples.com
110,Wyeth,wyeth.com
111,Delta Air Lines,delta.com
112,Fannie Mae,fanniemae.com
113,Oracle,oracle.com
114,Fluor,fluor.com
115,Express Scripts,express-scripts.com
116,Coca-Cola Enterprises,cokecce.com
117,Google,google.com
118,Northwestern Mutual,northwesternmutual.com
119,Manpower,manpower.com
120,Bristol-Myers Squibb,bms.com
121,Delphi,delphi.com
122,Eli Lilly,lilly.com
123,UAL,united.com
124,Nationwide,nationwide.com
125,Constellation Energy,constellation.com
126,DirecTV Group,directv.com
127,Goodyear Tire & Rubber,goodyear.com
128,Kimberly-Clark,kimberly-clark.com
129,U.S. Bancorp,usbank.com
130,Amazon.com,amazon.com
131,TJX,tjx.com
132,Cigna,cigna.com
133,Whirlpool,whirlpool.com
134,Exelon,exeloncorp.com
135,Massachusetts Mutual Life Insurance,massmutual.com
136,Nike,nike.com
137,World Fuel Services,wfscorp.com
138,Schering-Plough,en.wikipedia.org
139,J.C. Penney,jcpenney.com
140,International Assets Holding,intlfcstone.com
141,Halliburton,halliburton.com
142,Burlington Northern Santa Fe,bnsf.com
143,Union Pacific,up.com
144,Avnet,avnet.com
145,Capital One Financial,capitalone.com
146,Freeport-McMoRan Copper & Gold,fcx.com
147,Xerox,xerox.com
148,Illinois Tool Works,itw.com
149,Southern,southerncompany.com
150,Merrill Lynch,ml.com
151,Arrow Electronics,arrow.com
152,AFLAC,aflac.com
153,Computer Sciences,csc.com
154,FPL Group,fpl.com
155,Kohl's,kohls.com
156,Bank of New York Mellon Corp.,bnymellon.com
157,Dominion Resources,dom.com
158,AES,aes.org
159,Oneok,oneok.com
160,Altria Group,altria.com
161,PPG Industries,ppg.com
162,Anadarko Petroleum,anadarko.com
163,Devon Energy,devonenergy.com
164,Eaton,eaton.com
165,Health Net,healthnet.com
166,Colgate-Palmolive,colgate.com
167,Continental Airlines,united.com
168,Amgen,amgen.com
169,TRW Automotive Holdings,trw.com
170,Paccar,paccar.com
171,L-3 Communications,l-3com.com
172,EMC,emc.com
173,Textron,textron.com
174,Loews,loewshotels.com
175,Navistar International,navistar.com
176,PG&E Corp.,pgecorp.com
177,Viacom,viacom.com
178,Gap,gap.com
179,Office Depot,officedepot.com
180,American Electric Power,aep.com
181,Cummins,cummins.com
182,AutoNation,autonation.com
183,Smithfield Foods,smithfieldfoods.com
184,Edison International,edison.com
185,Integrys Energy Group,integrysgroup.com
186,CBS,cbs.com
187,Sun Microsystems,oracle.com
188,ConAgra Foods,conagrafoods.com
189,Pepsi Bottling,pepsibottlingventures.com
190,Public Service Enterprise Group,pseg.com
191,Consolidated Edison,coned.com
192,"Toys R"""" Us""""",toysrus.com
193,General Mills,generalmills.com
194,FirstEnergy,firstenergycorp.com
195,Lear,lear.com
196,Medtronic,medtronic.com
197,Qwest Communications,centurylink.com
198,Aramark,aramark.com
199,Sara Lee,saralee.com
200,National Oilwell Varco,nov.com
201,Waste Management,wm.com
202,Omnicom Group,omnicomgroup.com
203,Chubb,chubb.com
204,Duke Energy,duke-energy.com
205,Entergy,entergy.com
206,State Street Corp.,statestreet.com
207,United Services Automobile Association,usaa.com
208,Marriott International,marriott.com
209,Progressive,progressive.com
210,Kellogg,kelloggs.com
211,SunTrust Banks,suntrust.com
212,Jabil Circuit,jabil.com
213,Danaher,danaher.com
214,Reliant Energy,reliant.com
215,Texas Instruments,ti.com
216,Dean Foods,deanfoods.com
217,Apache,apache.org
218,Williams,williams.edu
219,Baxter International,baxter.com
220,Freddie Mac,freddiemac.com
221,Parker Hannifin,parker.com
222,US Airways Group,usairways.com
223,Knight,en.wikipedia.org
224,Land O'Lakes,landolakes.com
225,Penske Automotive Group,penskeautomotive.com
226,Coventry Health Care,jobs.coventryhealthcare.com
227,Baker Hughes,bakerhughes.com
228,Circuit City Stores,circuitcity.com
229,ITT,itt.com
230,Chesapeake Energy,chk.com
231,DISH Network,dish.com
232,Marsh & McLennan,mmc.com
233,R.R. Donnelley & Sons,rrdonnelley.com
234,KBR,kbr.com
235,Monsanto,monsanto.com
236,Weyerhaeuser,weyerhaeuser.com
237,Energy Future Holdings,energyfutureholdings.com
238,CenterPoint Energy,centerpointenergy.com
239,Yum Brands,yum.com
240,CSX,csx.com
241,Jacobs Engineering Group,jacobs.com
242,Xcel Energy,xcelenergy.com
243,Community Health Systems,chs.net
244,Qualcomm,qualcomm.com
245,American International Group,aig.com
246,Southwest Airlines,southwest.com
247,Genuine Parts,genpt.com
248,Air Products & Chemicals,airproducts.com
249,Praxair,praxair.com
250,Smith International,en.wikipedia.org
251,Commercial Metals,cmc.com
252,Sempra Energy,sempra.com
253,Western Refining,wnr.com
254,Pepco Holdings,pepcoholdings.com
255,Avon Products,avon.com
256,Norfolk Southern,nscorp.com
257,Liberty Global,lgi.com
258,Thermo Fisher Scientific,thermofisher.com
259,Dollar General,dollargeneral.com
260,BB&T Corp.,bbt.com
261,Starbucks,starbucks.com
262,Huntsman,huntsman.com
263,Harrah's Entertainment,totalrewards.com
264,URS,urscorp.com
265,Liberty Media,libertymedia.com
266,SAIC,saic.com
267,H.J. Heinz,heinz.com
268,Enbridge Energy Partners,enbridgepartners.com
269,BJ's Wholesale Club,bjs.com
270,Unum Group,unum.com
271,Genworth Financial,genworth.com
272,Calpine,calpine.com
273,Principal Financial,principal.com
274,Lincoln National,lfg.com
275,Terex,terex.com
276,Mosaic,en.wikipedia.org
277,Masco,masco.com
278,PNC Financial Services Group,pnc.com
279,Guardian Life Ins. Co. of America,guardianlife.com
280,Regions Financial,regions.com
281,Rohm & Haas,rohmhaas.com
282,Visteon,visteon.com
283,Tenet Healthcare,tenethealth.com
284,Eastman Kodak,kodak.com
285,DTE Energy,dteenergy.com
286,Energy Transfer Equity,energytransfer.com
287,Hartford Financial Services,thehartford.com
288,Progress Energy,progress-energy.com
289,NiSource,nisource.com
290,Limited Brands,limitedbrands.com
291,Global Partners,globalp.com
292,Sanmina-SCI,sanmina-sci.com
